date,open,high,low,close,volume,average,barCount
2025-02-18 07:00:00,9.44,9.44,9.44,9.44,9,9.44,4
2025-02-18 08:00:00,9.44,9.47,9.44,9.47,2,9.452,2
2025-02-18 09:00:00,9.48,9.48,9.11,9.15,353,9.21,69
2025-02-18 10:00:00,9.14,9.14,8.91,8.96,191,8.997,99
2025-02-18 11:00:00,8.95,9.03,8.9,9.0,169,8.954,60
2025-02-18 12:00:00,8.95,9.05,8.9,9.05,353,8.974,149
2025-02-18 13:00:00,9.06,9.09,8.95,9.0,216,9.002,116
2025-02-18 14:00:00,9.0,9.05,8.92,9.05,276,9.003,137
2025-02-18 15:00:00,9.03,9.19,9.01,9.18,475,9.065,284
2025-02-18 16:00:00,9.18,9.18,9.18,9.18,126,9.18,1
2025-02-18 17:00:00,9.18,9.18,9.18,9.18,0,9.18,0
2025-02-18 18:00:00,9.18,9.18,9.18,9.18,0,9.18,0
2025-02-18 19:00:00,9.18,9.18,9.18,9.18,0,9.18,0
2025-02-19 08:00:00,9.04,9.04,9.0,9.0,2,9.017,2
2025-02-19 09:00:00,8.99,9.49,8.99,9.34,332,9.241,130
2025-02-19 10:00:00,9.38,9.46,9.21,9.33,236,9.344,135
2025-02-19 11:00:00,9.33,9.36,9.09,9.27,241,9.19,140
2025-02-19 12:00:00,9.21,9.48,9.17,9.44,156,9.386,74
2025-02-19 13:00:00,9.42,9.48,9.33,9.46,210,9.442,99
2025-02-19 14:00:00,9.43,9.58,9.32,9.42,380,9.406,173
2025-02-19 15:00:00,9.41,9.57,9.34,9.49,637,9.47,405
2025-02-19 16:00:00,9.49,9.49,9.49,9.49,104,9.49,3
2025-02-19 17:00:00,9.49,9.49,9.49,9.49,0,9.49,0
2025-02-19 18:00:00,9.49,9.49,9.49,9.49,0,9.49,0
2025-02-19 19:00:00,9.02,9.02,9.02,9.02,1,9.02,1
2025-02-20 09:00:00,9.53,9.56,8.75,8.82,512,9.131,161
2025-02-20 10:00:00,8.8,9.15,8.8,8.84,460,8.944,187
2025-02-20 11:00:00,8.94,9.0,8.87,8.91,66,8.924,36
2025-02-20 12:00:00,8.92,8.95,8.82,8.88,233,8.893,90
2025-02-20 13:00:00,8.85,9.09,8.85,9.06,96,8.938,65
2025-02-20 14:00:00,9.07,9.19,9.04,9.06,129,9.113,76
